2017-04-04 21:59:46 ERROR  UserService.login:98 - Not Found
2017-04-04 21:59:48 ERROR  UserController.logoutUser:197 - Bad Request
2017-04-04 21:59:50 ERROR  UserService.register:48 - Forbidden
2017-04-04 21:59:50 ERROR  UserService.register:51 - Forbidden
2017-04-04 21:59:50 ERROR  UserService.register:51 - Forbidden
2017-04-04 21:59:52 ERROR  UserService.update:122 - Bad Request
2017-04-04 21:59:53 ERROR  UserService.updateInfo:144 - Bad Request
2017-04-04 21:59:54 ERROR  UserService.update:122 - Bad Request
2017-04-04 22:39:34 ERROR  UserService.login:97 - Not Found
2017-04-04 22:39:38 ERROR  UserController.logoutUser:197 - Bad Request
2017-04-04 22:39:41 ERROR  UserService.register:47 - Forbidden
2017-04-04 22:39:41 ERROR  UserService.register:50 - Forbidden
2017-04-04 22:39:41 ERROR  UserService.register:50 - Forbidden
2017-04-04 22:39:44 ERROR  UserService.update:121 - Bad Request
2017-04-04 22:39:45 ERROR  UserService.updateInfo:143 - Bad Request
2017-04-04 22:39:46 ERROR  UserService.update:121 - Bad Request
2017-04-05 16:04:45 ERROR  UserService.login:97 - Not Found
2017-04-05 16:04:48 ERROR  UserController.logoutUser:197 - Bad Request
2017-04-05 16:04:50 ERROR  UserService.register:47 - Forbidden
2017-04-05 16:04:50 ERROR  UserService.register:50 - Forbidden
2017-04-05 16:04:50 ERROR  UserService.register:50 - Forbidden
2017-04-05 16:04:52 ERROR  UserService.update:121 - Bad Request
2017-04-05 16:04:53 ERROR  UserService.updateInfo:143 - Bad Request
2017-04-05 16:04:53 ERROR  UserService.update:121 - Bad Request
2017-04-05 16:43:12 ERROR  UserService.login:97 - Not Found
2017-04-05 16:43:15 ERROR  UserController.logoutUser:197 - Bad Request
2017-04-05 16:43:17 ERROR  UserService.register:47 - Forbidden
2017-04-05 16:43:17 ERROR  UserService.register:50 - Forbidden
2017-04-05 16:43:17 ERROR  UserService.register:50 - Forbidden
2017-04-05 16:43:19 ERROR  UserService.update:121 - Bad Request
2017-04-05 16:43:20 ERROR  UserService.updateInfo:143 - Bad Request
2017-04-05 16:43:20 ERROR  UserService.update:121 - Bad Request
